name,slug,value,date_of_information,ranking,region
"Hong Kong","hong-kong","7,263,234","July 2021 est.","104","East Asia/Southeast Asia"
"Libya","libya","7,017,224","July 2021 est.","105","Africa"
"Serbia","serbia","6,974,289","July 2021 est.","106","Europe"
"Bulgaria","bulgaria","6,919,180","July 2021 est.","107","Europe"
"Sierra Leone","sierra-leone","6,807,277","July 2021 est.","108","Africa"
"El Salvador","el-salvador","6,528,135","July 2021 est.","109","Central America"
"Nicaragua","nicaragua","6,243,931","July 2021 est.","110","Central America"
"Eritrea","eritrea","6,147,398","July 2021 est.","111","Africa"
"Kyrgyzstan","kyrgyzstan","6,018,789","July 2021 est.","112","Central Asia"
"Denmark","denmark","5,894,687","July 2021 est.","113","Europe"
"Singapore","singapore","5,866,139","July 2021 est.","114","East Asia/Southeast Asia"
"Finland","finland","5,587,442","July 2021 est.","115","Europe"
"Turkmenistan","turkmenistan","5,579,889","July 2021 est.","116","Central Asia"
"Norway","norway","5,509,591","July 2021 est.","117","Europe"
"Slovakia","slovakia","5,436,066","July 2021 est.","118","Europe"
"Congo, Republic of the","congo-republic-of-the","5,417,414","July 2021 est.","119","Africa"
"Central African Republic","central-african-republic","5,357,984","July 2021 est.","120","Africa"
"Lebanon","lebanon","5,261,372","July 2021 est.","121","Middle East"
"Ireland","ireland","5,224,884","July 2021 est.","122","Europe"
"Liberia","liberia","5,214,030","July 2021 est.","123","Africa"
"Costa Rica","costa-rica","5,151,140","July 2021 est.","124","Central America"
"New Zealand","new-zealand","4,991,442","July 2021 est.","125","Australia - Oceania"
"Georgia","georgia","4,933,674","July 2021 est.","126","Middle East"
"Croatia","croatia","4,208,973","July 2021 est.","127","Europe"
"Mauritania","mauritania","4,079,284","July 2021 est.","128","Africa"
"Panama","panama","3,928,646","July 2021 est.","129","Central America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3,824,782","July 2021 est.","130","Europe"
"Oman","oman","3,694,755","July 2021 est.","131","Middle East"
"Uruguay","uruguay","3,398,239","July 2021 est.","132","South America"
"Moldova","moldova","3,323,875","July 2021 est.","133","Europe"
"Mongolia","mongolia","3,198,913","July 2021 est.","134","East Asia/Southeast Asia"
"Puerto Rico","puerto-rico","3,142,779","July 2021 est.","135","Central America"
"Albania","albania","3,088,385","July 2021 est.","136","Europe"
"Kuwait","kuwait","3,032,065","July 2021 est.","137","Middle East"
"Armenia","armenia","3,011,609","July 2021 est.","138","Middle East"
"West Bank","west-bank","2,949,246","July 2021 est.","139","Middle East"
"Jamaica","jamaica","2,816,602","July 2021 est.","140","Central America"
"Lithuania","lithuania","2,711,566","July 2021 est.","141","Europe"
"Namibia","namibia","2,678,191","July 2021 est.","142","Africa"
"Qatar","qatar","2,479,995","July 2021 est.","143","Middle East"
"Botswana","botswana","2,350,667","July 2021 est.","144","Africa"
"Gabon","gabon","2,284,912","July 2021 est.","145","Africa"
"Gambia, The","gambia-the","2,221,301","July 2021 est.","146","Africa"
"Lesotho","lesotho","2,177,740","July 2021 est.","147","Africa"
"Slovenia","slovenia","2,102,106","July 2021 est.","149","Europe"
"Guinea-Bissau","guinea-bissau","1,976,187","July 2021 est.","150","Africa"
"Gaza Strip","gaza-strip","1,957,062","July 2021 est.","151","Middle East"
"Kosovo","kosovo","1,935,259","July 2021 est.","152","Europe"
"Latvia","latvia","1,862,687","July 2021 est.","153","Europe"
"Bahrain","bahrain","1,526,929","July 2021 est.","154","Middle East"
"Timor-Leste","timor-leste","1,413,958","July 2021 est.","155","East Asia/Southeast Asia"
"Mauritius","mauritius","1,386,129","July 2021 est.","156","Africa"
"Cyprus","cyprus","1,281,506","July 2021 est.","157","Europe"
"Trinidad and Tobago","trinidad-and-tobago","1,221,047","July 2021 est.","158","Central America"
"Estonia","estonia","1,220,042","July 2021 est.","159","Europe"
"Eswatini","eswatini","1,113,276","July 2021 est.","160","Africa"
"Fiji","fiji","939,535","July 2021 est.","161","Australia - Oceania"
"Djibouti","djibouti","938,413","July 2021 est.","162","Africa"
"Comoros","comoros","864,335","July 2021 est.","163","Africa"
"Bhutan","bhutan","857,423","July 2021 est.","164","South Asia"
"Equatorial Guinea","equatorial-guinea","857,008","July 2021 est.","165","Africa"
"Guyana","guyana","787,971","July 2021 est.","166","South America"
"Solomon Islands","solomon-islands","690,598","July 2021 est.","167","Australia - Oceania"
"Luxembourg","luxembourg","639,589","July 2021 est.","168","Europe"
"Macau","macau","630,396","July 2021 est.","169","East Asia/Southeast Asia"
"Suriname","suriname","614,749","July 2021 est.","170","South America"
"Montenegro","montenegro","607,414","July 2021 est.","171","Europe"
"Cabo Verde","cabo-verde","589,451","July 2021 est.","172","Africa"
"Brunei","brunei","471,103","July 2021 est.","173","East Asia/Southeast Asia"
"Malta","malta","460,891","July 2021 est.","174","Europe"
"Belize","belize","405,633","July 2021 est.","175","Central America"
"Maldives","maldives","390,669","July 2021 est.","176","South Asia"
"Iceland","iceland","354,234","July 2021 est.","177","Europe"
"Bahamas, The","bahamas-the","352,655","July 2021 est.","178","Central America"
"Vanuatu","vanuatu","303,009","July 2021 est.","179","Australia - Oceania"
"Barbados","barbados","301,865","July 2021 est.","180","Central America"
"French Polynesia","french-polynesia","297,154","July 2021 est.","181","Australia - Oceania"
"New Caledonia","new-caledonia","293,608","July 2021 est.","182","Australia - Oceania"
"Sao Tome and Principe","sao-tome-and-principe","213,948","July 2021 est.","183","Africa"
"Samoa","samoa","204,898","July 2021 est.","184","Australia - Oceania"
"Guam","guam","168,801","July 2021 est.","185","Australia - Oceania"
"Saint Lucia","saint-lucia","166,637","July 2021 est.","186","Central America"
"Curacao","curacao","151,885","July 2021 est.","187","Central America"
"Aruba","aruba","120,917","July 2021 est.","188","Central America"
"Grenada","grenada","113,570","July 2021 est.","189","Central America"
"Kiribati","kiribati","113,001","July 2021 est.","190","Australia - Oceania"
"Virgin Islands","virgin-islands","105,870","July 2021 est.","191","Central America"
"Tonga","tonga","105,780","July 2021 est.","192","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","101,675","July 2021 est.","193","Australia - Oceania"
"Jersey","jersey","101,476","July 2021 est.","194","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","101,145","July 2021 est.","195","Central America"
"Antigua and Barbuda","antigua-and-barbuda","99,175","July 2021 est.","196","Central America"
"Seychelles","seychelles","96,387","July 2021 est.","197","Africa"
"Isle of Man","isle-of-man","90,895","July 2021 est.","198","Europe"
"Andorra","andorra","85,645","July 2021 est.","199","Europe"
"Marshall Islands","marshall-islands","78,831","July 2021 est.","200","Australia - Oceania"
"Dominica","dominica","74,584","July 2021 est.","201","Central America"
"Bermuda","bermuda","72,084","July 2021 est.","202","North America"
"Guernsey","guernsey","67,334","July 2021 est.","203","Europe"
"Cayman Islands","cayman-islands","63,131","July 2021 est.","204","Central America"
"Greenland","greenland","57,799","July 2021 est.","205","North America"
"Turks and Caicos Islands","turks-and-caicos-islands","57,196","July 2021 est.","206","Central America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","54,149","July 2021 est.","207","Central America"
"Faroe Islands","faroe-islands","51,943","July 2021 est.","208","Europe"
"Northern Mariana Islands","northern-mariana-islands","51,659","July 2021 est.","209","Australia - Oceania"
"American Samoa","american-samoa","46,366","July 2021 est.","210","Australia - Oceania"
"Sint Maarten","sint-maarten","44,564","July 2021 est.","211","Central America"
"Liechtenstein","liechtenstein","39,425","July 2021 est.","212","Europe"
"British Virgin Islands","british-virgin-islands","37,891","July 2021 est.","213","Central America"
"San Marino","san-marino","34,467","July 2021 est.","214","Europe"
"Saint Martin","saint-martin","32,680","July 2021 est.","215","Central America"
"Monaco","monaco","31,223","July 2021 est.","216","Europe"
"Gibraltar","gibraltar","29,516","July 2021 est.","217","Europe"
"Palau","palau","21,613","July 2021 est.","218","Australia - Oceania"
"Anguilla","anguilla","18,403","July 2021 est.","219","Central America"
